title,year,genres
Sword Art Online the Movie -Progressive- Aria of a Starless Night,2021,"Animation,Action,Fantasy,Science Fiction"
Eternals,2021,"Science Fiction,Action,Adventure"
Air,2023,"Drama,History"
The Legend of La Llorona,2011,"Family,Animation,Fantasy"
Why Women Cheat,2021,Romance
Corpus Christi,2019,Drama
Mean Girls,2004,Comedy
Finding Nemo,2003,"Animation,Family"
Batman and Superman: Battle of the Super Sons,2022,"Animation,Action,Science Fiction"
Overdose,2022,"Action,Crime,Thriller"
Fury,2014,"War,Drama,Action"
Purpose of Reunion 3,2018,"Drama,Romance"
The Valet,2022,"Comedy,Romance"
Toy Story,1995,"Animation,Adventure,Family,Comedy"
The Ministry of Ungentlemanly Warfare,2024,"Action,War,Drama"
Zootopia,2016,"Animation,Adventure,Family,Comedy"
Real Steel,2011,"Action,Science Fiction,Drama"
Dragon Ball Z: Resurrection 'F',2015,"Action,Animation,Science Fiction"
Ratatouille,2007,"Animation,Comedy,Family,Fantasy"
The Fate of the Furious,2017,"Action,Crime,Thriller"
The Little Mermaid,1989,"Animation,Family,Fantasy"
RRR,2022,"Action,Drama"
The Maze Runner,2014,"Action,Mystery,Science Fiction,Thriller"
Mortal Kombat,2021,"Action,Fantasy,Adventure"
Cruella,2021,"Comedy,Crime"
There's Something in the Barn,2023,"Comedy,Horror,Fantasy"
Jesus,2020,"Family,History,Music"
The Seven Deadly Sins: Cursed by Light,2021,"Animation,Fantasy"
Raya and the Last Dragon,2021,"Animation,Family,Fantasy,Action,Adventure"
The Killer,2023,"Crime,Thriller"
Nobody Sleeps in the Woods Tonight 2,2021,"Horror,Thriller,Comedy"
Crawlspace,2022,Thriller
Ice Age,2002,"Animation,Comedy,Family,Adventure"
"One Piece ""3D2Y"": Overcome Ace's Death! Luffy's Vow to his Friends",2014,"Action,Animation,Adventure,Comedy,Fantasy"
Toy Story 4,2019,"Family,Adventure,Animation,Comedy,Fantasy"
Luck,2022,"Animation,Adventure,Comedy,Fantasy"
The Princess and the Frog,2009,"Romance,Family,Animation"
Pirates of the Caribbean: At World's End,2007,"Adventure,Fantasy,Action"
Spider-Man: Into the Spider-Verse,2018,"Action,Adventure,Animation,Science Fiction"
Robots,2023,"Romance,Science Fiction,Fantasy,Comedy"
